File,Line,Column,Property,Aht,Result,Time
960521-1-1-mutate.c,15,1,MEMORY_LEAK,-,unsat,0.001
,15,1,MEMORY_LEAK,-,unsat,0.000
,13,14,INVALID_FREE,8,sat,0.008
,13,14,INVALID_FREE,9,unsat,0.005
,13,5,INVALID_FREE,11,unsat,0.010
,11,14,INVALID_FREE,9,unsat,0.009
,11,14,INVALID_FREE,8,unsat,0.004
,11,5,INVALID_FREE,11,unsat,0.014
,10,3,INVALID_DEREF,8,unsat,0.005
,9,3,INVALID_DEREF,4,unsat,0.001
,,,,,Totaltime:,0.057
960521-1-2-mutate.c,24,1,MEMORY_LEAK,-,unsat,0.001
,24,1,MEMORY_LEAK,-,unsat,0.000
,22,14,INVALID_FREE,8,unsat,0.004
,22,5,INVALID_FREE,11,unsat,0.008
,20,14,INVALID_FREE,3,sat,0.001
,20,14,INVALID_FREE,7,unsat,0.003
,20,5,INVALID_FREE,10,unsat,0.007
,19,3,INVALID_DEREF,3,sat,0.001
,19,3,INVALID_DEREF,7,unsat,0.003
,8,5,INVALID_DEREF,7,unsat,0.003
,8,5,INVALID_DEREF,3,unsat,0.001
,17,3,INVALID_DEREF,3,unsat,0.001
,,,,,Totaltime:,0.033
960521-1-2.c,24,1,MEMORY_LEAK,-,unsat,0.001
,24,1,MEMORY_LEAK,-,unsat,0.001
,22,14,INVALID_FREE,12,unsat,0.013
,22,5,INVALID_FREE,22,unsat,0.189
,20,14,INVALID_FREE,12,unsat,0.027
,20,14,INVALID_FREE,11,unsat,0.012
,20,5,INVALID_FREE,22,unsat,0.206
,19,3,INVALID_DEREF,11,unsat,0.011
,10,5,INVALID_DEREF,7,unsat,0.003
,8,5,INVALID_DEREF,7,unsat,0.003
,8,5,INVALID_DEREF,3,unsat,0.001
,17,3,INVALID_DEREF,3,unsat,0.000
,,,,,Totaltime:,0.467
960521-1-3-mutate.c,15,1,MEMORY_LEAK,-,unsat,0.001
,15,1,MEMORY_LEAK,-,unsat,0.000
,13,14,INVALID_FREE,9,unsat,0.005
,13,5,INVALID_FREE,3,unsat,0.000
,11,14,INVALID_FREE,8,unsat,0.003
,11,5,INVALID_FREE,2,unsat,0.000
,10,3,INVALID_DEREF,4,sat,0.002
,10,3,INVALID_DEREF,8,unsat,0.004
,9,3,INVALID_DEREF,4,unsat,0.001
,,,,,Totaltime:,0.016
cmp-freed-ptr-mutate.c,19,1,MEMORY_LEAK,-,unsat,0.001
,19,1,MEMORY_LEAK,-,unsat,0.000
,17,5,INVALID_FREE,7,sat,0.003
,15,9,INVALID_FREE,5,unsat,0.001
,11,5,INVALID_FREE,2,unsat,0.000
,,,,,Totaltime:,0.005
global-atexit-1-mutate.c,22,1,MEMORY_LEAK,3,sat,0.002
,22,1,MEMORY_LEAK,12,sat,0.014
,5,2,INVALID_FREE,8,unsat,0.003
,17,2,INVALID_DEREF,2,unsat,0.001
,,,,,Totaltime:,0.02
global-atexit-1.c,19,1,MEMORY_LEAK,15,sat,0.028
